,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
4848,4852,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1746,23, ,C0,59 EAST 119 STREET, ,10035,3,0,3,2086,3764,2002,1,C0, -  ,2017-02-03 00:00:00,40.801847,-73.942864,"(40.801847, -73.942864)"
4885,4889,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1749,5, ,C9,3 EAST 124 STREET, ,10035,4,0,4,2018,2994,1900,2,C9,1100000,2017-01-10 00:00:00,40.805635,-73.942178,"(40.805635, -73.942178)"
5535,5539,1,HARLEM-CENTRAL,17 CONDO COOPS                             ,2,1745,1002, ,R9,"1825 MADISON AVENUE, 6I", ,10035,0,0,0, -  , -  ,2004,2,R9,635000,2017-02-13 00:00:00,40.801553,-73.943517,"(40.801553, -73.943517)"
5564,5568,1,HARLEM-CENTRAL,21 OFFICE BUILDINGS                        ,4,1774,56, ,O5,132 EAST 126 STREET, ,10035,0,6,6,9091,58948,2008,4,O5, -  ,2017-02-03 00:00:00,40.805052,-73.937639,"(40.805052, -73.937639)"
5567,5571,1,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,1750,1, ,K4,2023 5 AVENUE, ,10035,0,10,10,16986,58000,1940,4,K4,15453750,2017-02-15 00:00:00,40.806266,-73.942262,"(40.806266, -73.942262)"
5569,5573,1,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,1774,17, ,K4,127 EAST 125 STREET, ,10035,0,3,3,13891,43630,2001,4,K4, -  ,2017-02-03 00:00:00,40.804851,-73.938973,"(40.804851, -73.938973)"
5609,5613,1,HARLEM-CENTRAL,40 SELECTED GOVERNMENTAL FACILITIES        ,4,1773,62, ,Y1,120 EAST 125 STREET, ,10035,0,1,1,2523,8500,1950,4,Y1,1,2017-01-04 00:00:00,40.804498,-73.938114,"(40.804498, -73.938114)"
5610,5614,1,HARLEM-CENTRAL,41 TAX CLASS 4 - OTHER                     ,4,1751,35, ,Z9,1844 PARK AVENUE, ,10035,0,0,0,1725, -  ,0,4,Z9, -  ,2017-01-27 00:00:00,40.805941,-73.938599,"(40.805941, -73.938599)"
5611,5615,1,HARLEM-CENTRAL,41 TAX CLASS 4 - OTHER                     ,4,1751,37, ,Z9,1848 PARK AVENUE, ,10035,0,0,0,1494, -  ,0,4,Z9, -  ,2017-01-27 00:00:00,40.80608,-73.938522,"(40.80608, -73.938522)"
5612,5616,1,HARLEM-CENTRAL,41 TAX CLASS 4 - OTHER                     ,4,1751,38, ,Z9,1852 PARK AVENUE, ,10035,0,0,0,1500, -  ,0,4,Z9, -  ,2017-01-27 00:00:00,40.806218,-73.938445,"(40.806218, -73.938445)"
5613,5617,1,HARLEM-CENTRAL,41 TAX CLASS 4 - OTHER                     ,4,1751,137, ,Z9,1850 PARK AVENUE, ,10035,0,0,0,1500, -  ,0,4,Z9, -  ,2017-01-27 00:00:00,40.806149,-73.938483,"(40.806149, -73.938483)"
5646,5650,1,HARLEM-EAST,01 ONE FAMILY DWELLINGS                    ,1,1628,71, ,A5,104 EAST 101ST STREET, ,10029,1,0,1,1607,1466,1890,1,A5, -  ,2017-02-04 00:00:00,40.78951,-73.949938,"(40.78951, -73.949938)"
5650,5654,1,HARLEM-EAST,02 TWO FAMILY DWELLINGS                    ,1,1807,133, ,B1,436 EAST 120 STREET, ,10035,2,0,2,1682,3000,1899,1,B1,424797,2017-02-27 00:00:00,40.797846,-73.932152,"(40.797846, -73.932152)"
5651,5655,1,HARLEM-EAST,03 THREE FAMILY DWELLINGS                  ,1,1623,44, ,C0,60 EAST 118TH STREET, ,10035,3,0,3,1926,3864,2002,1,C0,10,2017-02-10 00:00:00,40.800864,-73.943255,"(40.800864, -73.943255)"
5696,5700,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1634,28, ,C4,159 EAST 106 STREET, ,10029,8,0,8,2851,7328,1910,2,C4,2245945,2017-02-21 00:00:00,40.792082,-73.945493,"(40.792082, -73.945493)"
5704,5708,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,1638,140, ,C3,184 EAST 111 STREET, ,10029,4,0,4,1766,2412,1890,2,C3,1469500,2017-02-08 00:00:00,40.794879,-73.942914,"(40.794879, -73.942914)"
5785,5789,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,1796,7, ,C4,311 EAST 119 STREET, ,10035,4,0,4,1892,4500,1900,2,C4, -  ,2017-01-28 00:00:00,40.798774,-73.935691,"(40.798774, -73.935691)"
5786,5790,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,1796,7, ,C4,311 EAST 119 STREET, ,10035,4,0,4,1892,4500,1900,2,C4,1825000,2017-01-27 00:00:00,40.798774,-73.935691,"(40.798774, -73.935691)"
5790,5794,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1815,10, ,C4,515 EAST 118TH STREET, ,10035,8,0,8,1682,2394,1900,2,C4,1825000,2017-02-16 00:00:00,40.796106,-73.931257,"(40.796106, -73.931257)"
5793,5797,1,HARLEM-EAST,08 RENTALS - ELEVATOR APARTMENTS           ,2,1630,5, ,D3,109 EAST 102 STREET, ,10029,45,0,45,7570,30129,2003,2,D3,14700000,2017-01-19 00:00:00,40.790324,-73.949035,"(40.790324, -73.949035)"
5803,5807,1,HARLEM-EAST,09 COOPS - WALKUP APARTMENTS               ,2,1624,43, ,C6,"156 EAST 97TH   STREET, 1", ,10029,0,0,0, -  , -  ,1930,2,C6,200000,2017-02-06 00:00:00,40.786084,-73.949598,"(40.786084, -73.949598)"
5805,5809,1,HARLEM-EAST,09 COOPS - WALKUP APARTMENTS               ,2,1624,44, ,C6,"154 EAST 97TH STREET, 14", ,10029,0,0,0, -  , -  ,1930,2,C6,218000,2017-01-04 00:00:00,40.78612,-73.949684,"(40.78612, -73.949684)"
5828,5832,1,HARLEM-EAST,12 CONDOS - WALKUP APARTMENTS              ,2,1788,1115, ,R2,206 EAST 124 STREET,5B,10035,1,0,1, -  , -  ,1900,2,R2,497900,2017-01-24 00:00:00,40.802687,-73.935765,"(40.802687, -73.935765)"
5830,5834,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1616,1006, ,R4,77 EAST 110 STREET,3B,10029,1,0,1, -  , -  ,2013,2,R4,173394,2017-02-13 00:00:00,40.795804,-73.946495,"(40.795804, -73.946495)"
5832,5836,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1628,1204, ,R4,1810 3 AVENUE,2A,10029,1,0,1, -  , -  ,2005,2,R4,595000,2017-02-28 00:00:00,40.78821,-73.94736,"(40.78821, -73.94736)"
5836,5840,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1628,1209, ,R4,194 EAST 101 STREET,2B,10029,1,0,1, -  , -  ,2005,2,R4,710000,2017-01-31 00:00:00,40.788449,-73.947436,"(40.788449, -73.947436)"
5851,5855,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1628,1249, ,R4,194 EAST 101 STREET,7B,10029,1,0,1, -  , -  ,2005,2,R4,755000,2017-01-06 00:00:00,40.788449,-73.947436,"(40.788449, -73.947436)"
