Full Address,LatLong
"1150 5 AVENUE New York, NY 10128","[40.787929, -73.9552666]"
"1148 5 AVENUE New York, NY 10128","[40.7875551, -73.9555219]"
"14 EAST 96TH STREET                       New York, NY 10128","[40.787289, -73.954914]"
"14 EAST 96TH   STREET                     New York, NY 10128","[40.787289, -73.954914]"
"1140 5TH AVENUE New York, NY 10128","[40.7872602, -73.95588930000001]"
"16 EAST 96TH STREET New York, NY 10128","[40.7872519, -73.9546584]"
"65 EAST 96TH STREET New York, NY 10128","[40.787, -73.9531111]"
"1356 MADISON AVENUE New York, NY 10128","[40.7869266, -73.9547643]"
"1136 FIFTH AVENUE New York, NY 10128","[40.7869137, -73.9561648]"
"1136 5TH AVENUE New York, NY 10128","[40.7869137, -73.9561648]"
"27 EAST 95TH STREET New York, NY 10128","[40.7868014, -73.9548331]"
"1361 MADISON AVENUE New York, NY 10128","[40.7867711, -73.9542132]"
"1133 FIFTH AVENUE New York, NY 10128","[40.786705, -73.956226]"
"22 EAST 95TH STREET New York, NY 10128","[40.7865982, -73.9552349]"
"70 EAST 96TH   STREET New York, NY 10128","[40.786595, -73.953422]"
"1236 PARK AVENUE New York, NY 10128","[40.7865029, -73.9530204]"
"27 EAST 94TH STREET                       New York, NY 10128","[40.7861915, -73.9551546]"
"1235 PARK AVENUE New York, NY 10128","[40.786184, -73.9524625]"
"1220 PARK AVENUE New York, NY 10128","[40.7861278, -73.95325079999999]"
"9 EAST 93RD STREET New York, NY 10128","[40.7858195, -73.9562681]"
"1326 MADISON AVENUE New York, NY 10128","[40.7857969, -73.955499]"
"29 EAST 93RD STREET New York, NY 10128","[40.7855516, -73.9557401]"
"64 EAST 94TH STREET New York, NY 10128","[40.78542179999999, -73.9544887]"
"64 EAST 94TH ST New York, NY 10128","[40.78542179999999, -73.9544887]"
"18 EAST 93RD STREET New York, NY 10128","[40.7853436, -73.9561763]"
"140 EAST 95 STREET New York, NY 10128","[40.7852503, -73.9517339]"
"215 EAST 96TH STREET New York, NY 10128","[40.7851883, -73.947968]"
"1199 PARK AVENUE New York, NY 10128","[40.7851736, -73.9527438]"
"1199 PARK AVENUE                          New York, NY 10128","[40.7851736, -73.9527438]"
"17 EAST 92ND   STREET                     New York, NY 10128","[40.7850906, -73.9565666]"
"1107 FIFTH AVENUE New York, NY 10128","[40.7850227, -73.9575452]"
"217 EAST 96TH   STREET New York, NY 10128","[40.784938, -73.948379]"
"139 EAST 94TH STREET New York, NY 10128","[40.7848245, -73.9519795]"
"70 EAST 93RD STREET New York, NY 10128","[40.7847329, -73.9547298]"
"164 EAST 95TH STREET                      New York, NY 10128","[40.78473, -73.950942]"
"1185 PARK AVE New York, NY 10128","[40.7847265, -73.95343419999999]"
"1185 PARK AVENUE New York, NY 10128","[40.7847265, -73.95343419999999]"
"1172 PARK AVENUE New York, NY 10128","[40.7846599, -73.95441989999999]"
"178 EAST 95TH STREET                      New York, NY 10128","[40.7846558, -73.9505281]"
"1449 LEXINGTON AVENUE New York, NY 10128","[40.7845554, -73.9515843]"
"131 EAST 93RD STREET New York, NY 10128","[40.7842443, -73.9525831]"
"131 EAST 93 STREET New York, NY 10128","[40.7842443, -73.9525831]"
"152 EAST 94 STREET New York, NY 10128","[40.7842192, -73.951458]"
"152 EAST 94TH STREET New York, NY 10128","[40.7842192, -73.951458]"
"1691 3 AVENUE                             New York, NY 10128","[40.784218, -73.94962799999999]"
"47 EAST 91ST STREET New York, NY 10128","[40.784158, -73.95603899999999]"
"47 EAST 91ST   STREET New York, NY 10128","[40.784158, -73.95603899999999]"
"170 EAST 94TH   STREET New York, NY 10128","[40.7840222, -73.95102179999999]"
"170 EAST 94TH STREET New York, NY 10128","[40.7840222, -73.95102179999999]"
"170 E 94TH STREET New York, NY 10128","[40.7840222, -73.95102179999999]"
"134 EAST 93                               New York, NY 10128","[40.7839082, -73.9526021]"
"205 EAST 94TH   STREET                    New York, NY 10128","[40.7838261, -73.94964410000001]"
"177 EAST 93RD STREET New York, NY 10128","[40.783824, -73.95152689999999]"
"177 EAST 93 STREET New York, NY 10128","[40.783824, -73.95152689999999]"
"203 EAST 94TH STREET                      New York, NY 10128","[40.7838131, -73.9498093]"
"224 EAST 95TH STREET New York, NY 10128","[40.7837595, -73.94863389999999]"
"150 EAST 93RD STREET New York, NY 10128","[40.7836666, -73.9522501]"
"21 EAST 90TH STREET New York, NY 10128","[40.7836624, -73.9571582]"
"131 EAST 92ND   STREET New York, NY 10128","[40.7835848, -73.9530308]"
"1664 3 AVENUE                             New York, NY 10128","[40.7835397, -73.950884]"
"1261 MADISON AVENUE New York, NY 10128","[40.783507, -73.956582]"
"180 EAST 93 STREET                        New York, NY 10128","[40.7833416, -73.9513891]"
"180 EAST 93RD   STREET                    New York, NY 10128","[40.7833416, -73.9513891]"
"1128 PARK AVENUE New York, NY 10128","[40.783334, -73.95542]"
"107 EAST 91ST STREET                      New York, NY 10128","[40.783305, -73.954156]"
"103 EAST 91ST   STREET                    New York, NY 10128","[40.7833048, -73.95431649999999]"
"3 AVENUE New York, NY 10128","[40.783266, -73.9507404]"
"188 EAST 93RD STREET New York, NY 10128","[40.7832413, -73.9510906]"
"121 EAST 91ST STREET                      New York, NY 10128","[40.7831238, -73.9538573]"
"1832 2 AVENUE                             New York, NY 10128","[40.7831224, -73.9471624]"
"1133 PARK AVENUE New York, NY 10128","[40.7831046, -73.95460349999999]"
"45 EAST 89TH STREET New York, NY 10128","[40.7831038, -73.9571641]"
"17 EAST 89 STREET New York, NY 10128","[40.7830793, -73.9576802]"
"169 EAST 92ND   STREET                    New York, NY 10128","[40.783073, -73.951646]"
"1388 LEXINGTON AVE New York, NY 10128","[40.7830694, -73.95327189999999]"
"1120 PARK AVENU New York, NY 10128","[40.7830459, -73.9556827]"
"1120 PARK AVENUE                          New York, NY 10128","[40.7830459, -73.9556827]"
"301 EAST 94TH   STREET                    New York, NY 10128","[40.7829968, -73.9475432]"
"108 EAST 91 New York, NY 10128","[40.7829242, -73.95441989999999]"
"114 EAST 91ST STREET New York, NY 10128","[40.7828449, -73.9542017]"
"1112 PARK AVENUE New York, NY 10128","[40.7828312, -73.9559352]"
"245 EAST 93 STREET New York, NY 10128","[40.7827569, -73.9485838]"
"124 EAST 91ST STREET New York, NY 10128","[40.7826915, -73.9538688]"
"155 EAST 91 STREET New York, NY 10128","[40.78262429999999, -73.9525831]"
"1810 2 AVENUE                             New York, NY 10128","[40.7826201, -73.94794499999999]"
"1110 PARK AVENUE New York, NY 10128","[40.7826083, -73.95573929999999]"
"115 EAST 90TH ST New York, NY 10128","[40.7825254, -73.95432799999999]"
"1377-1379 LEXINGTON AVENUE                New York, NY 10128","[40.7825187, -73.9531922]"
"161 EAST 91ST STREET New York, NY 10128","[40.7824985, -73.95237639999999]"
"1368 LEXINGTON AVENUE New York, NY 10128","[40.7824903, -73.95374249999999]"
"1100 PARK AVENUE New York, NY 10128","[40.782418, -73.955964]"
"1802 SECOND AVENUE                        New York, NY 10128","[40.7823762, -73.9481287]"
"12 EAST 88TH   STREET                     New York, NY 10128","[40.7823358, -73.9586904]"
"1060 FIFTH AVENUE New York, NY 10128","[40.7823211, -73.9596133]"
