"Filing.Year","LATITUDE","LONGITUDE","Total"
1990,40.760561,-73.960336,6
1990,40.760698,-73.958759,2
1990,40.760933,-73.957748,1
1990,40.761198,-73.960827,6
1990,40.761277,-73.957841,2
1990,40.761306,-73.962137,2
1990,40.761317,-73.962162,1
1990,40.761368,-73.960343,2
1990,40.76227,-73.96605,1
1990,40.762278,-73.966071,1
1990,40.762309,-73.959985,4
1990,40.762373,-73.962725,4
1990,40.762412,-73.964721,1
1990,40.762434,-73.962822,1
1990,40.76244,-73.964826,2
1990,40.762588,-73.962916,1
1990,40.76261,-73.9658,2
1990,40.762657,-73.965338,4
1990,40.76289,-73.956628,11
1990,40.76294,-73.958205,1
1990,40.762943,-73.967648,2
1990,40.762961,-73.964071,1
1990,40.762962,-73.958256,1
1990,40.763005,-73.962234,5
1990,40.763061,-73.95849,3
1990,40.763066,-73.964371,1
1990,40.763166,-73.959374,1
1990,40.763176,-73.966526,2
1990,40.763292,-73.961035,2
1990,40.763296,-73.964869,2
1990,40.763319,-73.966912,2
1990,40.763378,-73.962309,2
1990,40.763551,-73.961645,1
1990,40.763625,-73.96371,1
1990,40.763706,-73.958129,2
1990,40.76372,-73.969197,8
1990,40.763757,-73.956002,4
1990,40.763775,-73.96707,1
1990,40.763781,-73.960244,2
1990,40.763816,-73.958385,1
1990,40.763863,-73.968164,1
1990,40.763893,-73.969074,7
1990,40.763951,-73.960605,2
1990,40.763965,-73.960684,2
1990,40.763969,-73.96693,1
1990,40.763983,-73.966543,1
1990,40.764013,-73.966569,1
1990,40.764016,-73.966893,1
1990,40.764066,-73.960876,1
1990,40.764193,-73.970644,4
1990,40.764199,-73.955695,1
1990,40.764212,-73.961706,1
1990,40.764255,-73.967146,1
1990,40.764265,-73.964615,3
1990,40.76432,-73.964576,2
1990,40.764376,-73.967478,2
1990,40.764389,-73.9645,1
1990,40.764394,-73.965579,3
1990,40.764449,-73.965662,2
1990,40.764506,-73.970756,1
1990,40.764534,-73.963969,1
1990,40.764543,-73.968124,1
1990,40.764548,-73.963958,3
1990,40.764824,-73.962716,1
1990,40.764861,-73.956944,2
1990,40.764943,-73.957139,3
1990,40.765008,-73.955078,4
1990,40.765051,-73.968254,2
1990,40.765054,-73.967146,2
1990,40.765072,-73.964027,1
1990,40.765124,-73.965373,2
1990,40.765124,-73.965326,2
1990,40.765166,-73.96542,1
1990,40.765211,-73.953886,5
1990,40.765219,-73.968106,3
1990,40.765321,-73.969669,1
1990,40.765359,-73.954279,1
1990,40.765367,-73.96982,1
1990,40.765377,-73.957759,2
1990,40.765409,-73.971864,9
1990,40.765496,-73.968431,4
1990,40.765506,-73.957691,1
1990,40.765593,-73.963647,1
1990,40.765594,-73.965716,1
1990,40.765608,-73.96647,5
1990,40.765609,-73.972022,1
1990,40.765616,-73.957608,2
1990,40.76562,-73.962846,5
1990,40.765636,-73.967824,1
1990,40.765641,-73.957568,1
1990,40.765677,-73.96668,2
1990,40.765685,-73.958893,1
1990,40.765705,-73.969856,1
1990,40.765777,-73.963174,5
1990,40.765801,-73.969784,4
1990,40.765998,-73.959636,3
1990,40.766004,-73.969354,3
1990,40.766048,-73.971401,1
1990,40.766063,-73.957283,2
1990,40.766097,-73.959871,1
1990,40.766159,-73.957214,1
1990,40.766184,-73.956196,2
1990,40.766191,-73.969528,1
1990,40.766228,-73.967369,1
1990,40.766249,-73.96217,2
1990,40.766304,-73.9623,1
1990,40.766346,-73.956625,1
1990,40.766378,-73.971459,1
1990,40.766403,-73.957037,1
1990,40.76644,-73.968448,3
1990,40.76644,-73.958741,1
1990,40.766469,-73.964647,4
1990,40.766497,-73.967199,1
1990,40.766513,-73.964748,1
1990,40.766545,-73.970632,1
1990,40.766553,-73.953066,5
1990,40.766564,-73.970957,1
1990,40.76658,-73.96878,1
1990,40.766589,-73.953145,1
1990,40.766611,-73.953199,1
1990,40.766625,-73.961163,1
1990,40.76663,-73.968899,1
1990,40.766643,-73.959928,1
1990,40.766654,-73.95925,1
1990,40.766851,-73.966943,1
1990,40.766889,-73.96369,2
1990,40.766916,-73.961852,1
1990,40.76694,-73.968979,3
1990,40.766946,-73.971044,3
1990,40.766969,-73.956163,1
