Full Address,LAT_LONG
"600 WEST 133RD STREET New York, NY 10027","[40.8188873, -73.95647360000001]"
"1473 AMSTERDAM AVENUE                     New York, NY 10027","[40.8172661, -73.95304589999999]"
"1473 AMSTERDAM AVENUE New York, NY 10027","[40.8172661, -73.95304589999999]"
"55 TIEMANN PLACE New York, NY 10027","[40.8158474, -73.9595169]"
"454 ST. NICHOLAS AVE                      New York, NY 10027","[40.81539739999999, -73.9484961]"
"200 CLAREMONT AVENUE New York, NY 10027","[40.8151828, -73.95973]"
"38 CONVENT AVENUE                         New York, NY 10027","[40.814921, -73.953573]"
"2467 FREDRICK DOUGLASS BL                 New York, NY 10027","[40.8148119, -73.9481746]"
"464 WEST 130TH STREET                     New York, NY 10027","[40.8145791, -73.9523085]"
"2457 8TH AVE New York, NY 10027","[40.8144911, -73.9483583]"
"36 CONVENT AVENUE New York, NY 10027","[40.8142848, -73.9534096]"
"273 WEST 131 STREET                       New York, NY 10027","[40.8141875, -73.94795409999999]"
"270 WEST 132 STREET New York, NY 10027","[40.8141691, -73.9473825]"
"410 ST NICHOLAS AVENUE                    New York, NY 10027","[40.8140596, -73.9492538]"
"252 WEST 132 STREET                       New York, NY 10027","[40.813907, -73.946939]"
"29 CONVENT AVE New York, NY 10027","[40.8139049, -73.952899]"
"250 WEST 132ND STREET New York, NY 10027","[40.813883, -73.94688099999999]"
"170 CLAREMONT AVENUE New York, NY 10027","[40.813861, -73.960661]"
"242 WEST 132 STREET New York, NY 10027","[40.8138493, -73.9466248]"
"261 WEST 131ST STREET                     New York, NY 10027","[40.813813, -73.9475891]"
"261 WEST 131 STREET                       New York, NY 10027","[40.813813, -73.9475891]"
"232 WEST 132ND STREET New York, NY 10027","[40.813688, -73.946415]"
"2257 ADAM CLAYTON POWELL                  New York, NY 10027","[40.8136759, -73.9444494]"
"1345 AMSTERDAM AVENUE                     New York, NY 10027","[40.8136012, -73.9558034]"
"2253 7TH AVENUE                           New York, NY 10027","[40.813599, -73.9444923]"
"125 WEST 133 STREET                       New York, NY 10027","[40.813477, -73.942809]"
"206 WEST 132 STREET                       New York, NY 10027","[40.8134469, -73.94584499999999]"
"3117 BROADWAY New York, NY 10027","[40.8134337, -73.9604353]"
"2247 7TH AVENUE                           New York, NY 10027","[40.8134251, -73.9446316]"
"219 WEST 131 STREET New York, NY 10027","[40.8133478, -73.94648699999999]"
"217 WEST 131 STREET                       New York, NY 10027","[40.813338, -73.9464181]"
"213 WEST 131 STREET New York, NY 10027","[40.8132863, -73.9463263]"
"25 ST NICHOLAS TERRACE                    New York, NY 10027","[40.8131919, -73.95182539999999]"
"132 WEST 133 STREET                       New York, NY 10027","[40.8131226, -73.9430773]"
"100 LASALLE New York, NY 10027","[40.81307109999999, -73.9592414]"
"100 LA SALLE STREET New York, NY 10027","[40.81307109999999, -73.9592414]"
"100 LASALLE STREET New York, NY 10027","[40.81307109999999, -73.9592414]"
"400 WEST 128 STREET                       New York, NY 10027","[40.813026, -73.9522846]"
"6 CONVENT AVENUE New York, NY 10027","[40.813013, -73.953329]"
"429 WEST 126 STREET New York, NY 10027","[40.812967, -73.95441799999999]"
"171 WEST 131 STREET New York, NY 10027","[40.8129093, -73.9449082]"
"449 WEST 125 STREET                       New York, NY 10027","[40.8128485, -73.9553901]"
"70 LA SALLE New York, NY 10027","[40.8127925, -73.9577314]"
"80 LA SALLE STREET New York, NY 10027","[40.8127336, -73.95799509999999]"
"80 LASALLE STREET New York, NY 10027","[40.8127336, -73.95799509999999]"
"5 ST NICHOLAS TERRACE New York, NY 10027","[40.812695, -73.9522616]"
"362 SAINT NICHOLAS AVENU New York, NY 10027","[40.8126235, -73.9505396]"
"6 ST NICHOLAS TERRACE                     New York, NY 10027","[40.8125526, -73.95180239999999]"
"153 WEST 131 STREET New York, NY 10027","[40.812527, -73.9445124]"
"118 WEST 132ND STREET New York, NY 10027","[40.8124694, -73.9432954]"
"420 WEST 126 STREET New York, NY 10027","[40.812392, -73.954543]"
"245 WEST 129 STREET                       New York, NY 10027","[40.8123797, -73.94801389999999]"
"418 WEST 126 STREET New York, NY 10027","[40.812332, -73.95449099999999]"
"549 WEST 123TH STREET New York, NY 10027","[40.8123315, -73.9598646]"
"549 WEST 123RD STREET New York, NY 10027","[40.8123315, -73.9598646]"
"131 WEST 131ST STREET New York, NY 10027","[40.8122652, -73.9438924]"
