,Full Address,LatLong
0,"1619 3 AVENUE                             New York, NY 10128",
1,"1681 3 AVENUE                             New York, NY 10128",
2,"1771 1 AVENUE                             New York, NY 10128",
3,"345 EAST 86 STREET New York, NY 10028",
4,"200 EAST END New York, NY 10128",
5,"245 EAST 87TH STREET New York, NY 10128",
6,"217 EAST 96TH STREET New York, NY 10128",
7,"345 EAST 61ST STREET New York, NY 10065",
8,"321 EAST 61ST   STREET                    New York, NY 10065",
9,"350 EAST 62ND   STREET                    New York, NY 10065",
10,"350 EAST 62ND   STREET New York, NY 10065",
11,"350 EAST 62ND                             New York, NY 10065",
12,"301 EAST 61ST   STREET New York, NY 10065",
13,"351 EAST 62ND   STREET                    New York, NY 10065",
14,"355 EAST 62ND STREET                      New York, NY 10065",
15,"347 EAST 62ND STREET New York, NY 10065",
16,"345 EAST 62ND STREET                      New York, NY 10065",
17,"341-343 EAST 62ND STREET                  New York, NY 10065",
18,"337 EAST 62ND   STREET New York, NY 10065",
19,"337 EAST 62ND   STREET                    New York, NY 10065",
20,"300 EAST 62ND   STREET New York, NY 10065",
21,"330 EAST 63RD STREET                      New York, NY 10065",
22,"301 EAST 62ND STREET New York, NY 10065",
23,"200 EAST 61ST   STREET                    New York, NY 10065",
24,"200 EAST 61ST STREET                      New York, NY 10065",
25,"209 EAST 61ST STREET                      New York, NY 10065",
26,"213 EAST 61ST   STREET                    New York, NY 10065",
27,"200 EAST 61ST                             New York, NY 10065",
28,"226 EAST 62ND STREET New York, NY 10065",
29,"222 EAST 62ND   STREET                    New York, NY 10065",
30,"340 EAST 64TH STREET                      New York, NY 10065",
31,"340 EAST 64TH   STREET New York, NY 10065",
32,"340 E. 64TH STREET                        New York, NY 10065",
33,"340 E 64TH STREET                         New York, NY 10065",
34,"340 EAST 64TH   STREET                    New York, NY 10065",
35,"340 EAST 64TH ST.                         New York, NY 10065",
36,"209 EAST 62ND   STREET                    New York, NY 10065",
37,"201 EAST 62ND   STREET New York, NY 10065",
38,"334 EAST 65TH STREET New York, NY 10065",
39,"210 EAST 63RD   STREET New York, NY 10065",
40,"206 EAST 63RD   STREET New York, NY 10065",
41,"330 EAST 65TH   STREET New York, NY 10065",
42,"330 EAST 65TH STREET New York, NY 10065",
43,"301 EAST 64TH STREET                      New York, NY 10065",
44,"343 EAST 65TH   STREET                    New York, NY 10065",
45,"167 EAST 62ND   STREET New York, NY 10065",
46,"205 EAST 63RD STREET New York, NY 10065",
47,"335 EAST 65TH   STREET                    New York, NY 10065",
48,"115 EAST 61ST   STREET                    New York, NY 10065",
49,"304 EAST 65TH ST                          New York, NY 10065",
50,"315 EAST 65TH STREET New York, NY 10065",
51,"166 E 63RD STREET                         New York, NY 10065",
52,"40 EAST 61ST   STREET                     New York, NY 10065",
53,"40 EAST 61ST STREET                       New York, NY 10065",
54,"400 EAST 67TH   STREET                    New York, NY 10065",
55,"400 EAST 67TH   STREET New York, NY 10065",
56,"400 EAST 67TH STREET New York, NY 10065",
57,"36 EAST 61ST STREET                       New York, NY 10065",
58,"36 EAST 61ST STREET New York, NY 10065",
59,"333 EAST 66TH   STREET New York, NY 10065",
60,"333 E. 66TH STREET New York, NY 10065",
61,"220 EAST 65TH   STREET                    New York, NY 10065",
62,"400 EAST 67TH                             New York, NY 10065",
63,"321 EAST 66TH   STREET                    New York, NY 10065",
64,"188 EAST 64TH   STREET                    New York, NY 10065",
65,"188 EAST 64TH STREET                      New York, NY 10065",
66,"188 E 64TH STREET                         New York, NY 10065",
67,"188 EAST 64TH   STREET New York, NY 10065",
68,"143 EAST 63RD   STREET New York, NY 10065",
69,"176 EAST 64TH STREET                      New York, NY 10065",
70,"301 EAST 66TH   STREET                    New York, NY 10065",
71,"40 EAST 62ND STREET                       New York, NY 10065",
72,"200 EAST 66TH ST                          New York, NY 10065",
73,"200 EAST 66TH   STREET                    New York, NY 10065",
74,"200 EAST 66TH STREET New York, NY 10065",
75,"200 EAST 66TH STREET                      New York, NY 10065",
76,"200 E 66TH STREET                         New York, NY 10065",
77,"200 EAST 65TH   STREET                    New York, NY 10065",
78,"200-210 EAST 65TH STREET                  New York, NY 10065",
79,"359 EAST 68TH STREET                      New York, NY 10065",
80,"27 EAST 62ND   STREET                     New York, NY 10065",
81,"357 EAST 68TH   STREET                    New York, NY 10065",
82,"132A EAST 65TH   STREET                   New York, NY 10065",
83,"200 EAST 66TH                             New York, NY 10065",
84,"200 EAST 66TH New York, NY 10065",
85,"333 EAST 68TH   STREET New York, NY 10065",
86,"201 EAST 66TH STREET New York, NY 10065",
87,"201 E 66TH STREET New York, NY 10065",
88,"201 EAST 66TH New York, NY 10065",
89,"364 EAST 69TH   STREET                    New York, NY 10021",
90,"364 EAST 69TH STREET                      New York, NY 10021",
91,"362 EAST 69TH   STREET                    New York, NY 10021",
92,"358 EAST 69TH STREET                      New York, NY 10021",
93,"345 E 69TH STREET New York, NY 10021",
94,"345 E. 69TH STREET New York, NY 10021",
95,"52 EAST 64TH   STREET New York, NY 10065",
96,"400 EAST 70TH STREET                      New York, NY 10021",
97,"400 EAST 70TH   STREET New York, NY 10021",
98,"315 EAST 68TH STREET                      New York, NY 10065",
99,"334 EAST 69TH   STREET New York, NY 10021",
100,"36 EAST 64TH   STREET                     New York, NY 10065",
101,"34 EAST 64TH STREET New York, NY 10065",
102,"333 EAST 69TH STREET New York, NY 10021",
103,"330 EAST 70TH   STREET New York, NY 10021",
104,"330 EAST 70TH ST New York, NY 10021",
105,"315 EAST 69TH STREET New York, NY 10021",
106,"315 EAST 69TH   STREET New York, NY 10021",
107,"301 EAST 69TH   STREET                    New York, NY 10021",
108,"205 EAST 68TH STREET                      New York, NY 10065",
109,"205 EAST 68TH STREET New York, NY 10065",
110,"205 EAST 68TH   STREET                    New York, NY 10065",
111,"233 EAST 69TH   STREET New York, NY 10021",
112,"315 E 70TH STREET New York, NY 10021",
113,"200 EAST 69TH STREET                      New York, NY 10021",
114,"200 EAST 69TH   STREET                    New York, NY 10021",
115,"19 EAST 65TH   STREET                     New York, NY 10065",
116,"205 EAST 69TH STREET New York, NY 10021",
117,"360 EAST 72ND STREET New York, NY 10021",
118,"40 EAST 66TH   STREET                     New York, NY 10065",
119,"40 EAST 66TH STREET                       New York, NY 10065",
120,"399 EAST 72ND STREET                      New York, NY 10021",
121,"150 EAST 69TH STREET                      New York, NY 10065",
122,"311 EAST 71ST   STREET New York, NY 10021",
123,"311 EAST 71ST STREET New York, NY 10021",
124,"234 EAST 70TH STREET                      New York, NY 10021",
125,"350 EAST 72ND STREET New York, NY 10021",
126,"350 EAST 72ND STREET                      New York, NY 10021",
127,"350 EAST 72ND   STREET                    New York, NY 10021",
128,"208 EAST 70TH   STREET New York, NY 10021",
129,"340 EAST 72ND   STREET New York, NY 10021",
130,"330 EAST 72ND STREET New York, NY 10021",
131,"330 EAST 72ND STREET                      New York, NY 10021",
132,"330 EAST 72ND   STREET                    New York, NY 10021",
133,"21 EAST 66TH   STREET                     New York, NY 10065",
134,"787 MADISON AVENUE                        New York, NY 10065",
135,"353 EAST 72ND STREET New York, NY 10021",
136,"320 EAST 72ND STREET New York, NY 10021",
137,"4 EAST 66TH STREET New York, NY 10065",
138,"39 EAST 67TH   STREET                     New York, NY 10065",
139,"325 EAST 72ND STREET New York, NY 10021",
140,"188 EAST 70TH STREET                      New York, NY 10021",
141,"188 EAST 70TH   STREET New York, NY 10021",
142,"308 EAST 72ND   STREET                    New York, NY 10021",
143,"328 EAST 73RD STREET New York, NY 10021",
144,"328 EAST 73RD   STREET New York, NY 10021",
145,"315 EAST 72ND   STREET New York, NY 10021",
146,"326 EAST 73RD   STREET New York, NY 10021",
147,"330 EAST 73RD STREET                      New York, NY 10021",
148,"324 EAST 73RD   STREET                    New York, NY 10021",
149,"305 EAST 72ND   STREET                    New York, NY 10021",
150,"345 EAST 73RD ST New York, NY 10021",
151,"345 EAST 73RD STREET New York, NY 10021",
152,"203 EAST 71ST   STREET                    New York, NY 10021",
153,"2 EAST 67TH STREET New York, NY 10065",
154,"308 EAST 73RD STREET New York, NY 10021",
155,"319 EAST 73RD STREET New York, NY 10021",
156,"245 EAST 72ND ST New York, NY 10021",
157,"116 EAST 70TH   STREET                    New York, NY 10021",
158,"156 EAST 71ST   STREET                    New York, NY 10021",
159,"162 EAST 71ST   STREET                    New York, NY 10021",
160,"11 EAST 68TH   STREET                     New York, NY 10065",
161,"328 EAST 74TH STREET New York, NY 10021",
162,"343 EAST 74TH   STREET New York, NY 10021",
163,"326 EAST 74TH   STREET                    New York, NY 10021",
164,"324 EAST 74TH   STREET                    New York, NY 10021",
165,"203 EAST 72ND STREET New York, NY 10021",
