,Full Address,LAT_LONG
0,"234 WEST 122 STREET                       New York, NY 10027",
1,"25 WEST HOUSTON                           New York, NY 10012",
2,"199 2 AVENUE                              New York, NY 10003",
3,"260 5 AVENUE                              New York, NY 10001",
4,"200 EAST END New York, NY 10128",
5,"190 EAST 2ND   STREET                     New York, NY 10009",
6,"200 RECTOR PLACE                          New York, NY 10280",
7,"225 RECTOR PLACE                          New York, NY 10280",
8,"300 ALBANY STREET                         New York, NY 10280",
9,"257 SOUTH STREET                          New York, NY 10002",
10,"305 CHERRY STREET                         New York, NY 10002",
11,"197 MADISON STREET New York, NY 10002",
12,"207 MADISON STREET                        New York, NY 10002",
13,"21 CATHERINE STREET                       New York, NY 10038",
14,"201 HENRY STREET New York, NY 10002",
15,"223 HENRY STREET                          New York, NY 10002",
16,"201 EAST BROADWAY                         New York, NY 10002",
17,"203 EAST BROADWAY                         New York, NY 10002",
18,"2 PIKE STREET                             New York, NY 10002",
19,"2 ALLEN STREET New York, NY 10002",
20,"228 EAST BROADWAY                         New York, NY 10002",
21,"208 EAST BROADWAY New York, NY 10002",
22,"19 ELDRIDGE STREET                        New York, NY 10002",
23,"28 FORSYTH STREET                         New York, NY 10002",
24,"19 ESSEX STREET                           New York, NY 10002",
25,"21 LUDLOW STREET                          New York, NY 10002",
26,"24 LUDLOW STREET                          New York, NY 10002",
27,"30 ORCHARD STREET                         New York, NY 10002",
28,"27 ESSEX STREET                           New York, NY 10002",
29,"2 RIVER TERRACE                           New York, NY 10280",
30,"2 RIVER TERRACE New York, NY 10280",
31,"208 DELANCEY STREET New York, NY 10002",
32,"290 GRAND STREET                          New York, NY 10002",
33,"236 BROOME STREET                         New York, NY 10002",
34,"190 BOWERY                                New York, NY 10012",
35,"199 MOTT New York, NY 10012",
36,"190 ALLEN STREET                          New York, NY 10002",
37,"24 SPRING STREET                          New York, NY 10012",
38,"200 BOWERY                                New York, NY 10012",
39,"201 MULBERRY STREET                       New York, NY 10012",
40,"201 MULBERRY STREET New York, NY 10012",
41,"209 EAST 2ND   STREET                     New York, NY 10009",
42,"201 CHRYSTIE STREET New York, NY 10002",
43,"196 ORCHARD STREET                        New York, NY 10002",
44,"217 EAST 3RD   STREET New York, NY 10009",
45,"192 EAST 3RD   STREET                     New York, NY 10009",
46,"197 EAST 3RD   STREET                     New York, NY 10009",
47,"197 EAST 3RD STREET                       New York, NY 10009",
48,"233 ELIZABETH STREET                      New York, NY 10012",
49,"258-260 BOWERY                            New York, NY 10012",
50,"238 EAST 4TH   STREET                     New York, NY 10009",
51,"24 1ST AVENUE                             New York, NY 10009",
52,"262 ELIZABETH STREET                      New York, NY 10012",
53,"205 EAST 4TH   STREET                     New York, NY 10009",
54,"264 ELIZABETH STREET                      New York, NY 10012",
55,"206 EAST 7TH STREET New York, NY 10009",
56,"295 LAFAYETTE STREET                      New York, NY 10012",
57,"199 EAST 7TH STREET New York, NY 10009",
58,"199 EAST 7TH   STREET New York, NY 10009",
59,"188 SPRING STREET                         New York, NY 10012",
60,"190 SPRING STREET                         New York, NY 10012",
61,"298 ELIZABETH STREET                      New York, NY 10012",
62,"2 BLEECKER STREET                         New York, NY 10012",
63,"191 SPRING STREET                         New York, NY 10012",
64,"208-210 SPRING STREET New York, NY 10012",
65,"19 EAST HOUSTON STREET                    New York, NY 10012",
66,"203 SPRING STREET New York, NY 10012",
67,"200 MERCER STREET New York, NY 10012",
68,"193 PRINCE STREET                         New York, NY 10012",
69,"197 PRINCE STREET                         New York, NY 10012",
70,"199 PRINCE STREET                         New York, NY 10012",
71,"189 AVENUE  C New York, NY 10009",
72,"2 BOND STREET New York, NY 10012",
73,"295 EAST 10TH   STREET                    New York, NY 10002",
74,"208-210 EAST 6TH STREET                   New York, NY 10003",
75,"188 SULLIVAN STREET New York, NY 10012",
76,"210 AVENUE B                              New York, NY 10009",
77,"208 THOMPSON STREET New York, NY 10012",
78,"240 EAST 10TH   STREET                    New York, NY 10003",
79,"209 SULLIVAN STREET New York, NY 10012",
80,"194 AVENUE A                              New York, NY 10009",
81,"194 BLEECKER STREET New York, NY 10012",
82,"202 AVENUE A New York, NY 10009",
83,"205 BLEECKER STREET                       New York, NY 10012",
84,"221 EAST 10TH   STREET                    New York, NY 10003",
85,"230 SULLIVAN STREET                       New York, NY 10012",
86,"219 AVENUE A                              New York, NY 10009",
87,"309 EAST 12TH   STREET New York, NY 10003",
88,"225 1ST AVENUE                            New York, NY 10003",
89,"193 2ND AVENUE New York, NY 10003",
90,"201 2ND AVENUE                            New York, NY 10003",
91,"219 EAST 12TH   STREET                    New York, NY 10003",
92,"20 UNIVERSITY PLACE New York, NY 10003",
93,"20 E. 9TH STREET New York, NY 10003",
94,"19 EAST 9TH   STREET                      New York, NY 10003",
95,"203 EAST 13TH   STREET                    New York, NY 10003",
96,"236&238 EAST 15TH STREET                  New York, NY 10003",
97,"230 EAST 15TH   STREET New York, NY 10003",
98,"210 EAST 15TH   STREET                    New York, NY 10003",
99,"201 EAST 15TH STREET New York, NY 10003",
100,"2 EAST 12TH STREET New York, NY 10003",
101,"205 EAST 16TH   STREET New York, NY 10003",
102,"205 EAST 17TH   STREET                    New York, NY 10003",
103,"201 E 17TH STREET New York, NY 10003",
104,"201 EAST 17TH STREET New York, NY 10003",
105,"201 E 17TH STREET                         New York, NY 10003",
106,"201 EAST 17TH STREET                      New York, NY 10003",
107,"208 EAST 18TH STREET                      New York, NY 10003",
108,"192 3RD AVENUE New York, NY 10003",
109,"204 EAST 20TH   STREET New York, NY 10003",
110,"239-241 3RD AVENUE                        New York, NY 10003",
111,"20 EAST 17TH   STREET                     New York, NY 10003",
112,"2 WEST 29TH STREET New York, NY 10001",
113,"29 WEST 28TH   STREET                     New York, NY 10001",
114,"233 WEST 26TH   STREET New York, NY 10001",
115,"237 WEST 26TH   STREET                    New York, NY 10001",
116,"19 WEST 31ST   STREET                     New York, NY 10001",
117,"227 WEST 28TH   STREET                    New York, NY 10001",
118,"211 WEST 29TH   STREET                    New York, NY 10001",
119,"20 WEST 33RD   STREET New York, NY 10001",
120,"261 WEST 28TH   STREET New York, NY 10001",
121,"256 10TH AVENUE                           New York, NY 10001",
122,"22 WEST 38TH   STREET                     New York, NY 10018",
123,"30 WEST 39TH   STREET                     New York, NY 10018",
124,"256 WEST 38TH   STREET New York, NY 10018",
125,"300 EAST 62ND   STREET New York, NY 10065",
126,"200 EAST 61ST STREET                      New York, NY 10065",
127,"200 EAST 61ST   STREET                    New York, NY 10065",
128,"209 EAST 61ST STREET                      New York, NY 10065",
129,"200 EAST 61ST                             New York, NY 10065",
130,"209 EAST 62ND   STREET                    New York, NY 10065",
131,"201 EAST 62ND   STREET New York, NY 10065",
132,"210 EAST 63RD   STREET New York, NY 10065",
133,"206 EAST 63RD   STREET New York, NY 10065",
134,"205 EAST 63RD STREET New York, NY 10065",
135,"188 EAST 64TH STREET                      New York, NY 10065",
136,"188 EAST 64TH   STREET New York, NY 10065",
137,"188 E 64TH STREET                         New York, NY 10065",
138,"188 EAST 64TH   STREET                    New York, NY 10065",
139,"200 EAST 66TH ST                          New York, NY 10065",
140,"200 EAST 66TH STREET                      New York, NY 10065",
141,"200 EAST 66TH STREET New York, NY 10065",
142,"200 EAST 66TH   STREET                    New York, NY 10065",
143,"200 E 66TH STREET                         New York, NY 10065",
144,"200 EAST 65TH   STREET                    New York, NY 10065",
145,"200-210 EAST 65TH STREET                  New York, NY 10065",
146,"200 EAST 66TH New York, NY 10065",
147,"200 EAST 66TH                             New York, NY 10065",
148,"201 E 66TH STREET New York, NY 10065",
149,"201 EAST 66TH STREET New York, NY 10065",
150,"201 EAST 66TH New York, NY 10065",
151,"301 EAST 69TH   STREET                    New York, NY 10021",
152,"205 EAST 68TH STREET                      New York, NY 10065",
153,"205 EAST 68TH STREET New York, NY 10065",
154,"205 EAST 68TH   STREET                    New York, NY 10065",
155,"200 EAST 69TH   STREET                    New York, NY 10021",
156,"200 EAST 69TH STREET                      New York, NY 10021",
157,"19 EAST 65TH   STREET                     New York, NY 10065",
158,"205 EAST 69TH STREET New York, NY 10021",
159,"208 EAST 70TH   STREET New York, NY 10021",
160,"21 EAST 66TH   STREET                     New York, NY 10065",
161,"188 EAST 70TH STREET                      New York, NY 10021",
162,"188 EAST 70TH   STREET New York, NY 10021",
163,"308 EAST 72ND   STREET                    New York, NY 10021",
164,"305 EAST 72ND   STREET                    New York, NY 10021",
165,"203 EAST 71ST   STREET                    New York, NY 10021",
166,"2 EAST 67TH STREET New York, NY 10065",
167,"203 EAST 72ND STREET New York, NY 10021",
168,"205 EAST 72ND STREET New York, NY 10021",
169,"235 EAST 73RD   STREET New York, NY 10021",
170,"206 EAST 73RD STREET                      New York, NY 10021",
171,"206 EAST 73RD   STREET                    New York, NY 10021",
172,"225 EAST 73RD  STREET New York, NY 10021",
173,"2 EAST END AVENUE New York, NY 10075",
174,"244 EAST 75TH STREET                      New York, NY 10021",
175,"19 EAST 70TH   STREET                     New York, NY 10021",
176,"207 EAST 74TH ST. New York, NY 10021",
177,"207 EAST 74TH   STREET New York, NY 10021",
178,"207 EAST 74TH STREET New York, NY 10021",
179,"196 EAST 75TH STREET New York, NY 10021",
180,"188 EAST 75TH ST New York, NY 10021",
181,"19 EAST 72ND STREET New York, NY 10021",
182,"306 EAST 78TH   STREET New York, NY 10075",
183,"188 EAST 76TH   STREET                    New York, NY 10021",
184,"195 EAST 76TH STREET                      New York, NY 10021",
185,"308 EAST 79TH   STREET New York, NY 10075",
186,"213 EAST 77TH   STREET                    New York, NY 10075",
