Full Address,LatLong
"1619 3 AVENUE                             New York, NY 10128","(40.5903286720868, -73.953294197129)"
"1681 3 AVENUE                             New York, NY 10128","(40.5903506262195, -73.953092544354)"
"1771 1 AVENUE                             New York, NY 10128","(40.5904434285714, -73.9522537142857)"
"345 EAST 86 STREET New York, NY 10028","(40.5906494, -73.975127)"
"200 EAST END New York, NY 10128","(40.643102, -73.714349)"
"245 EAST 87TH STREET New York, NY 10128","(40.6473691, -73.9173247405073)"
"217 EAST 96TH STREET New York, NY 10128","(40.6614784, -73.9215245242797)"
"345 EAST 61ST STREET New York, NY 10065","(40.7613224, -73.9616225451092)"
"321 EAST 61ST   STREET                    New York, NY 10065","(40.761454, -73.962245)"
"350 EAST 62ND   STREET                    New York, NY 10065","(40.7616488, -73.9612451)"
"350 EAST 62ND   STREET New York, NY 10065","(40.7616488, -73.9612451)"
"350 EAST 62ND                             New York, NY 10065","(40.7617941714286, -73.9615569714286)"
"301 EAST 61ST   STREET New York, NY 10065","(40.76187815, -73.9630676458659)"
"351 EAST 62ND   STREET                    New York, NY 10065","(40.76192395, -73.9611870648025)"
"355 EAST 62ND STREET                      New York, NY 10065","(40.7619517, -73.9610315645144)"
"347 EAST 62ND STREET New York, NY 10065","(40.7619581, -73.96130375)"
"345 EAST 62ND STREET                      New York, NY 10065","(40.7619724, -73.9613646434463)"
"341-343 EAST 62ND STREET                  New York, NY 10065","(40.7619836756757, -73.961559945946)"
"337 EAST 62ND   STREET New York, NY 10065","(40.7621398, -73.9615554393642)"
"337 EAST 62ND   STREET                    New York, NY 10065","(40.7621398, -73.9615554393642)"
"300 EAST 62ND   STREET New York, NY 10065","(40.7622436, -73.9627946)"
"330 EAST 63RD STREET                      New York, NY 10065","(40.7623906, -73.9614317101811)"
"301 EAST 62ND STREET New York, NY 10065","(40.762439, -73.9625965)"
"200 EAST 61ST   STREET                    New York, NY 10065","(40.7626186, -73.9654793)"
"200 EAST 61ST STREET                      New York, NY 10065","(40.7626186, -73.9654793)"
"209 EAST 61ST STREET                      New York, NY 10065","(40.7626372, -73.9649876)"
"213 EAST 61ST   STREET                    New York, NY 10065","(40.7626402, -73.96483065)"
"200 EAST 61ST                             New York, NY 10065","(40.762673, -73.96558)"
"226 EAST 62ND STREET New York, NY 10065","(40.7628733, -73.9641785)"
"222 EAST 62ND   STREET                    New York, NY 10065","(40.7628752, -73.9643158867916)"
"340 EAST 64TH STREET                      New York, NY 10065","(40.7629556, -73.9604866)"
"340 EAST 64TH   STREET New York, NY 10065","(40.7629556, -73.9604866)"
"340 E. 64TH STREET                        New York, NY 10065","(40.7629556, -73.9604866)"
"340 E 64TH STREET                         New York, NY 10065","(40.7629556, -73.9604866)"
"340 EAST 64TH   STREET                    New York, NY 10065","(40.7629556, -73.9604866)"
"340 EAST 64TH ST.                         New York, NY 10065","(40.7629556, -73.9604866)"
"209 EAST 62ND   STREET                    New York, NY 10065","(40.7633119, -73.96448875)"
"201 EAST 62ND   STREET New York, NY 10065","(40.7633983, -73.9648755)"
"334 EAST 65TH STREET New York, NY 10065","(40.7636136, -73.9604318347882)"
"210 EAST 63RD   STREET New York, NY 10065","(40.7636176, -73.96423075)"
"206 EAST 63RD   STREET New York, NY 10065","(40.76364985, -73.9643598756926)"
"330 EAST 65TH   STREET New York, NY 10065","(40.76368675, -73.9605086131983)"
"330 EAST 65TH STREET New York, NY 10065","(40.76368675, -73.9605086131983)"
"301 EAST 64TH STREET                      New York, NY 10065","(40.7637225, -73.9617604)"
"343 EAST 65TH   STREET                    New York, NY 10065","(40.7638163, -73.9597687)"
"167 EAST 62ND   STREET New York, NY 10065","(40.7638422, -73.965729720902)"
"205 EAST 63RD STREET New York, NY 10065","(40.7639362, -73.9641732)"
"335 EAST 65TH   STREET                    New York, NY 10065","(40.76396325, -73.9600004925102)"
"115 EAST 61ST   STREET                    New York, NY 10065","(40.7640254, -73.9679759592182)"
"304 EAST 65TH ST                          New York, NY 10065","(40.7640879, -73.9615448)"
"315 EAST 65TH STREET New York, NY 10065","(40.7642023, -73.960674726391)"
"166 E 63RD STREET                         New York, NY 10065","(40.7642282, -73.9654389)"
"40 EAST 61ST   STREET                     New York, NY 10065","(40.7643009, -73.9698523674799)"
