"","sale_id","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1",38505,"2015","HARLEM-EAST","1621","63","16 EAST 116 STREET","10029","04/28/2015",2750000,-73.945786,40.80037
"2",38507,"2015","HARLEM-EAST","1625","53","1511 LEXINGTON AVE","10029","12/08/2015",405000,-73.950227,40.78681
"3",38508,"2015","HARLEM-EAST","1627","20","1557 LEXINGTON AVENUE","10029","12/08/2015",4200000,-73.949306,40.788081
"4",38509,"2015","HARLEM-EAST","1627","30","167 EAST 99TH   STREET","10029","05/18/2015",4373833,-73.948905,40.787548
"5",38510,"2015","HARLEM-EAST","1627","31","169 EAST 99TH   STREET","10029","05/18/2015",4373833,-73.948858,40.787526
"6",38511,"2015","HARLEM-EAST","1627","32","171 EAST 99TH   STREET","10029","05/18/2015",4373833,-73.948811,40.787507
"7",38512,"2015","HARLEM-EAST","1633","32","175 EAST 105 STREET","10029","03/18/2015",3380000,-73.945883,40.791205
"8",38513,"2015","HARLEM-EAST","1634","17","1698 LEXINGTON AVENUE","10029","11/10/2015",320000,-73.946088,40.792523
"9",38514,"2015","HARLEM-EAST","1634","32","167 EAST 106 STREET","10029","02/20/2015",2365000,-73.945554,40.791949
"10",38516,"2015","HARLEM-EAST","1635","41","178 EAST 108 STREET","10029","10/02/2015",800000,-73.944372,40.793137
"11",38517,"2015","HARLEM-EAST","1638","140","184 EAST 111TH STREET","10029","11/18/2015",950000,-73.942922,40.794989
"12",38524,"2015","HARLEM-EAST","1683","1","2162 2 AVENUE","10029","02/06/2015",2650000,-73.940027,40.793912
"13",38536,"2015","HARLEM-EAST","1627","43","166 EAST 100TH","10029","02/26/2015",800000,-73.948453,40.788163
"14",38544,"2015","HARLEM-EAST","1624","44","154 EAST 97TH STREET, 1","10029","03/16/2015",115000,-73.949957,40.786335
"15",38545,"2015","HARLEM-EAST","1625","68","112 EAST 98, 2R","10029","10/09/2015",400000,-73.951155,40.787659
"16",38555,"2015","HARLEM-EAST","1683","27","2159 1ST AVENUE, 2E","10029","05/13/2015",225000,-73.937438,40.79324
"17",38561,"2015","HARLEM-EAST","1632","1012","165 EAST 104 STREET","10029","07/07/2015",380000,-73.946458,40.790618
"18",38562,"2015","HARLEM-EAST","1632","1012","165 EAST 104 STREET","10029","02/12/2015",240000,-73.946458,40.790618
"19",38563,"2015","HARLEM-EAST","1660","1004","2141 2 AVENUE","10029","10/16/2015",415000,-73.940504,40.793286
"20",38564,"2015","HARLEM-EAST","1676","1002","311 EAST 104 STREET","10029","03/31/2015",375000,-73.942866,40.789096
"21",38571,"2015","HARLEM-EAST","1627","1005","158 EAST 100 STREET","10029","02/17/2015",490000,-73.948641,40.788242
"22",38572,"2015","HARLEM-EAST","1627","1012","158 EAST 100 STREET","10029","07/15/2015",655000,-73.948641,40.788242
"23",38573,"2015","HARLEM-EAST","1627","1013","158 EAST 100 STREET","10029","09/03/2015",690000,-73.948641,40.788242
"24",38574,"2015","HARLEM-EAST","1629","1104","1595 LEXINGTON AVENUE","10029","12/28/2015",510000,-73.94842,40.789291
"25",38575,"2015","HARLEM-EAST","1629","1105","1595 LEXINGTON AVENUE","10029","11/17/2015",498000,-73.94842,40.789291
"26",38576,"2015","HARLEM-EAST","1629","1123","1595 LEXINGTON AVENUE","10029","02/10/2015",1690295,-73.94842,40.789291
"27",38577,"2015","HARLEM-EAST","1630","1210","117 EAST 102 STREET","10029","12/21/2015",589000,-73.948943,40.790032
"28",38578,"2015","HARLEM-EAST","1631","1003","1635 LEXINGTON AVENUE","10029","09/25/2015",1134686,-73.947538,40.790501
"29",38579,"2015","HARLEM-EAST","1631","1015","1635 LEXINGTON AVENUE","10029","04/07/2015",934753,-73.947538,40.790501
"30",38580,"2015","HARLEM-EAST","1631","1020","1635 LEXINGTON AVENUE","10029","09/09/2015",914388,-73.947538,40.790501
"31",38581,"2015","HARLEM-EAST","1631","1022","1635 LEXINGTON AVENUE","10029","01/15/2015",710738,-73.947538,40.790501
"32",38582,"2015","HARLEM-EAST","1631","1025","1635 LEXINGTON AVENUE","10029","09/25/2015",358702,-73.947538,40.790501
"33",38583,"2015","HARLEM-EAST","1631","1031","1635 LEXINGTON AVENUE","10029","09/25/2015",358702,-73.947538,40.790501
"34",38584,"2015","HARLEM-EAST","1638","1013","169 EAST 110 STREET","10029","07/07/2015",650000,-73.9434,40.794391
"35",38585,"2015","HARLEM-EAST","1638","1015","161 EAST 110TH STREET","10029","01/23/2015",530000,-73.943685,40.794509
"36",38587,"2015","HARLEM-EAST","1638","1029","161 EAST 110 STREET","10029","12/07/2015",800000,-73.943685,40.794509
"37",38588,"2015","HARLEM-EAST","1638","1032","161 EAST 110TH STREET","10029","09/18/2015",485000,-73.943685,40.794509
"38",38589,"2015","HARLEM-EAST","1638","1035","161 EAST 110 STREET","10029","08/12/2015",690000,-73.943685,40.794509
"39",38590,"2015","HARLEM-EAST","1638","1054","161 EAST 110TH STREET","10029","10/06/2015",527500,-73.943685,40.794509
"40",38591,"2015","HARLEM-EAST","1661","1008","227 EAST 111 STREET","10029","12/23/2015",435000,-73.94159,40.794448
"41",38592,"2015","HARLEM-EAST","1661","1012","227 EAST 111 STREET","10029","09/30/2015",425000,-73.94159,40.794448
"42",38595,"2015","HARLEM-EAST","1676","1421","2019 1 AVENUE","10029","06/25/2015",899000,-73.94096,40.788417
"43",38596,"2015","HARLEM-EAST","1676","1425","2019 1 AVENUE","10029","11/10/2015",870000,-73.94096,40.788417
"44",38597,"2015","HARLEM-EAST","1676","1430","2019 1 AVENUE","10029","07/27/2015",471350,-73.94096,40.788417
"45",38598,"2015","HARLEM-EAST","1677","1204","319 EAST 105 STREET","10029","08/21/2015",420000,-73.942262,40.789678
"46",38599,"2015","HARLEM-EAST","1677","1221","319 EAST 105 STREET","10029","02/06/2015",421000,-73.942262,40.789678
"47",38600,"2015","HARLEM-EAST","1677","1222","319 EAST 105 STREET","10029","10/15/2015",455000,-73.942262,40.789678
"48",38601,"2015","HARLEM-EAST","1680","1029","309 EAST 108TH STREET","10029","03/26/2015",780000,-73.940906,40.791664
"49",38603,"2015","HARLEM-EAST","1680","1104","330 EAST 109 STREET","10029","10/14/2015",499000,-73.940173,40.79218
"50",38605,"2015","HARLEM-EAST","1680","1108","330 EAST 109TH STREET","10029","11/10/2015",499000,-73.940173,40.79218
"51",38606,"2015","HARLEM-EAST","1680","1120","330 EAST 109","10029","06/02/2015",535000,-73.940173,40.79218
"52",38607,"2015","HARLEM-EAST","1681","1014","2132 2 AVENUE","10029","02/18/2015",390000,-73.940772,40.792888
"53",38608,"2015","HARLEM-EAST","1681","1021","2132 2 AVENUE","10029","03/30/2015",712775,-73.940772,40.792888
"54",38609,"2015","HARLEM-EAST","1681","1028","2132 2 AVENUE","10029","12/14/2015",590000,-73.940772,40.792888
"55",38610,"2015","HARLEM-EAST","1681","1035","2132 2 AVENUE","10029","06/24/2015",2240150,-73.940772,40.792888
"56",38611,"2015","HARLEM-EAST","1681","1115","342 EAST 110 STREET","10029","02/13/2015",520000,-73.939501,40.792731
"57",38612,"2015","HARLEM-EAST","1681","1135","342 EAST 110 STREET","10029","08/31/2015",708000,-73.939501,40.792731
"58",38613,"2015","HARLEM-EAST","1681","1222","333 EAST 109 STREET","10029","04/17/2015",763000,-73.940126,40.79218
"59",38625,"2015","HARLEM-EAST","1622","30","89 EAST 116 STREET","10029","11/05/2015",4800000,-73.94372,40.799524
"60",38626,"2015","HARLEM-EAST","1644","21","147 EAST 116 STREET","10029","03/30/2015",1875000,-73.941294,40.798493
"61",38628,"2015","HARLEM-EAST","1675","51","2014 2 AVENUE","10029","08/18/2015",2500000,-73.943635,40.78897
"62",38631,"2015","HARLEM-EAST","1687","124","2243 1ST AVENUE","10029","05/12/2015",1110000,-73.935774,40.795518
"63",38632,"2015","HARLEM-EAST","1687","130","354 EAST 116TH ST","10029","07/09/2015",2200000,-73.936471,40.796443
"64",38634,"2015","HARLEM-EAST","1624","1002","110 EAST 97TH   STREET","10029","01/05/2015",1395000,-73.951441,40.786956
"65",38635,"2015","HARLEM-EAST","1629","1006","119 EAST 101 STREET","10029","06/12/2015",535000,-73.949474,40.789431
"66",38636,"2015","HARLEM-EAST","1629","1008","119 EAST 101ST STREET","10029","03/05/2015",485000,-73.949474,40.789431
"67",38637,"2015","HARLEM-EAST","1633","1001","170 EAST 106 STREET","10029","05/26/2015",3800000,-73.945428,40.791878
"68",38647,"2015","HARLEM-EAST","1677","1008","307 EAST 105 STREET","10029","12/07/2015",555000,-73.942465,40.789763
"69",38845,"2016","HARLEM-EAST","1632","145","164 E 105TH STREET","10029","02/04/2016",2400000,-73.9461215630497,40.7912878094617
"70",38849,"2016","HARLEM-EAST","1635","26","159 EAST 107TH STREET","10029","07/28/2016",750000,-73.9452175575792,40.7926926855681
"71",38850,"2016","HARLEM-EAST","1635","45","168 EAST 108 STREET","10029","12/08/2016",1300000,-73.9445706629304,40.7932221092791
"72",38851,"2016","HARLEM-EAST","1636","23","1737 LEXINGTON AVENUE","10029","10/11/2016",2300000,-73.9452420545109,40.7936451186702
"73",38855,"2016","HARLEM-EAST","1638","141","180 EAST 111 STREET","10029","11/07/2016",1900000,-73.9430161691535,40.7950301283449
"74",38862,"2016","HARLEM-EAST","1660","42","214 EAST 111 STREET","10029","07/28/2016",2006500,-73.9417922881579,40.7945135075792
