,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,ADDRESS_clean,FullAddress,LAT_LONG
0,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,375,28, ,C4,738 EAST 6TH STREET, ,10009,11,0,11,1750,6500,1900,2,C4,3750000,4/3/17 0:00,738 EAST 6TH STREET,"738 EAST 6TH STREET New York, NY 10009",0
1,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,385,36, ,C7,27 AVENUE C, ,10009,24,1,25,2650,9960,1910,2,C7,5235000,7/11/17 0:00,27 AVENUE C,"27 AVENUE C New York, NY 10009","[40.7215057, -73.98096269999999]"
2,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,5, ,C2,151 AVENUE B, ,10009,5,0,5,2139,4416,1900,2,C2,0,6/16/17 0:00,151 AVENUE B,"151 AVENUE B New York, NY 10009",0
3,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6, ,C2,153 AVENUE B, ,10009,5,0,5,1633,6440,1900,2,C2,6625000,7/19/17 0:00,153 AVENUE B,"153 AVENUE B New York, NY 10009",0
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,61, ,C7,193 EAST 4TH   STREET, ,10009,11,1,12,2388,8045,1900,2,C7,7675000,11/13/17 0:00,193 EAST 4TH   STREET,"193 EAST 4TH   STREET New York, NY 10009",0
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,405,16, ,C4,516 EAST 12TH   STREET, ,10009,20,0,20,2581,9730,1900,2,C4,0,7/20/17 0:00,516 EAST 12TH   STREET,"516 EAST 12TH   STREET New York, NY 10009",0
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,407,18, ,C7,520 EAST 14TH   STREET, ,10009,44,2,46,5163,21007,1900,2,C7,0,7/20/17 0:00,520 EAST 14TH   STREET,"520 EAST 14TH   STREET New York, NY 10009","[40.7296685, -73.97939869999999]"
7,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,379,34, ,D5,141 AVENUE D, ,10009,15,0,15,5626,21957,1920,2,D5,0,6/20/17 0:00,141 AVENUE D,"141 AVENUE D New York, NY 10009",0
8,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,394,44, ,D7,181 AVENUE C, ,10009,30,4,34,4295,21328,1910,2,D7,0,7/20/17 0:00,181 AVENUE C,"181 AVENUE C New York, NY 10009","[40.7267061, -73.97725799999999]"
9,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1C", ,10009,0,0,0,0,0,1920,2,C6,499000,3/10/17 0:00,327 EAST 3 STREET,"327 EAST 3 STREET New York, NY 10009",
10,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 3A", ,10009,0,0,0,0,0,1920,2,C6,10,4/28/17 0:00,327 EAST 3 STREET,"327 EAST 3 STREET New York, NY 10009",
11,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 2E", ,10009,0,0,0,0,0,1920,2,C6,423000,7/14/17 0:00,327 EAST 3 STREET,"327 EAST 3 STREET New York, NY 10009",
12,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1B", ,10009,0,0,0,0,0,1920,2,C6,400,12/15/17 0:00,327 EAST 3 STREET,"327 EAST 3 STREET New York, NY 10009",
13,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3RD STREET, 5A", ,10009,0,0,0,0,0,1920,2,C6,529500,6/9/17 0:00,327 EAST 3RD STREET,"327 EAST 3RD STREET New York, NY 10009",
14,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST 3RD STREET, 12", ,10009,0,0,0,0,0,1925,2,C6,501000,3/16/17 0:00,317 EAST 3RD STREET,"317 EAST 3RD STREET New York, NY 10009","(40.7213312753623, -73.9795636666667)"
15,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST 3RD STREET, 11", ,10009,0,0,0,0,0,1925,2,C6,445000,1/3/18 0:00,317 EAST 3RD STREET,"317 EAST 3RD STREET New York, NY 10009","(40.7213312753623, -73.9795636666667)"
16,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD, 22", ,10009,0,0,0,0,0,1920,2,C6,510000,8/17/17 0:00,311 EAST 3RD,"311 EAST 3RD New York, NY 10009","(41.049186, -73.859414)"
17,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 12", ,10009,0,0,0,0,0,1920,2,C6,449000,11/6/17 0:00,311 EAST 3RD STREET,"311 EAST 3RD STREET New York, NY 10009",0
18,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 1", ,10009,0,0,0,0,0,1902,2,C6,350000,8/30/17 0:00,742 EAST 6TH STREET,"742 EAST 6TH STREET New York, NY 10009",0
19,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 3", ,10009,0,0,0,0,0,1902,2,C6,240000,7/28/17 0:00,742 EAST 6TH STREET,"742 EAST 6TH STREET New York, NY 10009",0
20,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,5, ,C6,"98 AVENUE C, 5D", ,10009,0,0,0,0,0,1900,2,C6,379000,11/2/17 0:00,98 AVENUE C,"98 AVENUE C New York, NY 10009","[40.7237208, -73.9787783]"
21,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,24,0,24,4131,16776,1928,2,C6,11900000,6/21/17 0:00,244 EAST 7TH STREET,"244 EAST 7TH STREET New York, NY 10009",0
22,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,0,0,0,0,0,1928,2,C6,11900000,6/21/17 0:00,244 EAST 7TH STREET,"244 EAST 7TH STREET New York, NY 10009",0
23,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 2", ,10009,0,0,0,0,0,1928,2,C6,404000,7/7/17 0:00,248 EAST 7TH STREET,"248 EAST 7TH STREET New York, NY 10009",0
24,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,18, ,C6,"252 EAST 7TH STREET, 23", ,10009,0,0,0,0,0,1928,2,C6,350000,2/27/18 0:00,252 EAST 7TH STREET,"252 EAST 7TH STREET New York, NY 10009","(40.7234828, -73.9779597108094)"
25,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,19, ,C6,"254 EAST  7TH STREET, 4", ,10009,0,0,0,0,0,1910,2,C6,535000,6/21/17 0:00,254 EAST  7TH STREET,"254 EAST  7TH STREET New York, NY 10009",0
26,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,54, ,C6,"267 EAST 7 ST, 4", ,10009,0,0,0,0,0,1920,2,C6,1400000,8/4/17 0:00,267 EAST 7 ST,"267 EAST 7 ST New York, NY 10009","[40.7235678, -73.97724699999999]"
27,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH   STREET, 4E", ,10009,0,0,0,0,0,1930,2,C6,355000,4/18/17 0:00,414 EAST 10TH   STREET,"414 EAST 10TH   STREET New York, NY 10009",0
28,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH STREET, 1C", ,10009,0,0,0,0,0,1930,2,C6,0,6/19/17 0:00,414 EAST 10TH STREET,"414 EAST 10TH STREET New York, NY 10009","[40.7254066, -73.9768462]"
29,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH STREET, 1D", ,10009,0,0,0,0,0,1930,2,C6,455000,1/18/18 0:00,414 EAST 10TH STREET,"414 EAST 10TH STREET New York, NY 10009","[40.7254066, -73.9768462]"
30,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,9, ,C6,"184 EAST 7TH ST, 6", ,10009,0,0,0,0,0,1900,2,C6,690000,1/11/18 0:00,184 EAST 7TH ST,"184 EAST 7TH ST New York, NY 10009",0
31,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,20, ,C6,"204 EAST 7TH STREET, 10", ,10009,0,0,0,0,0,1900,2,C6,360000,11/22/17 0:00,204 EAST 7TH STREET,"204 EAST 7TH STREET New York, NY 10009","[40.724401, -73.980205]"
32,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,20, ,C6,"204 EAST 7TH STREET, 6", ,10009,0,0,0,0,0,1900,2,C6,505000,2/8/18 0:00,204 EAST 7TH STREET,"204 EAST 7TH STREET New York, NY 10009","[40.724401, -73.980205]"
